 /12-7-639, गट क्र.94,प्लाँट क्र.37,12-7-639 शंकरनगर, तरोडा खू.नांदेड
 /12-7-671, गट क्र.94,प्लाँट क्र. 94 Plot No. 41 चा उत्तर कडील भाग,12-7-671 शंकरनगर, तरोडा खू.नांदेड
 /1 ते तरोडा  खु
 /4
 /821, S.No.37/Gut No.93 तरोडा खु
 /962 मुळगाव तरोडा खुर्द
 , Gut No. 215216217218 Plot No. 2/1चा मधला भाग गजानन नगर नांदेड
 , Gut No. 2222229230231232233234235236 Plot No. 30 व्‍यंकटेश नगर नांदेड
 , Gut No. 2222229230231232233234235236 Plot No. अं.क्र.24 व्‍यंकटेश नगर नांदेड
 , Gut No. 222 मुळगाव Plot No. 701 तरोडा खु नांदेड
 , Gut No. 606162 मुळगाव Plot No. 104 तरोडा खु नांदेड
 , Gut No. 606162 मुळगाव Plot No. 93 तरोडा खु नांदेड
 , Gut No. 606162 मुळगाव Plot No. अं. क्र. 180 तरोडा खु नांदेड
 , Gut No. 909192939495969899 Plot No. 68 90,91,92,93,94,95,96,98,99 नांदेड
 , Gut No. 90 Plot No. 1 ते 49 90,91,92,93,94,95,96,98,99 नांदेड
 , Gut No. 92 Plot No. 32 90,91,92,93,94,95,96,98,99 नांदेड
 , Gut No. 94 Plot No. 31/1 90,91,92,93,94,95,96,98,99 नांदेड
 , Gut No. 94 Plot No. 55 90,91,92,93,94,95,96,98,99 नांदेड
 , Gut No. मुळगाव 222  Plot No. 63178 तरोडा खु नांदेड
 , Gut No. मुळगाव Plot No. 26 मुळगाव तरोडा खु नांदेड
 , Gut No. मुळगाव Plot No. 96 तरोडा खु नांदेड
 , ग.क्र.102प्लॉ.नं.23 शिवराय नगर, तरोडा (खु.)नांदेड,12-6-31
 /ग.क्र.221, 223, ग.क्र.221, 223 प्लॉ.नं.7 चा पूर्वे कडील भाग, 2 चा पुर्ण भाग व 3 चा उत्तर भाग, व्यंकटेश नगर, तरोडा(खु.),नांदेड
 /ग.क्र.94 प्लॉ.नं.18, गट क्र.94,प्लाँट क्र.18,12-7-694 शंकर नगर, तरोडा (खु.) नांदेड
 , गट क्र.242प्लॉट क्र.0812-7-381 व्‍यंकटेश नगर, मुळगाव, तरोडा खु.नांदेड
 , गट क्र.90ते 99 पैकी12-7-690 तरोडा खु.नांदेड
 /., गट नं 219 प्लॉट नं 1,2 व्यंकटेश नगर तरोडा खु नांदेउ .
 , गट नं.223 प्लॉट नं.236 व्यंकटेश नगर तरोडा खु.
 तरोडा खुर्द, शिवरायनगर , प्लॉट नंबर 12 चा उत्तरेकडील भाग
 /प्लॉट नं.
 /प्लॉट नं.
 /प्लॉट नं.
 /प्लॉट नं. 24
 /प्लॉट नं. 25
 , मुळगाव प्लॉट क्र. 113/1 12-7-514 मुळगाव ,तरोडा खु.नांदेड
 , मुळगाव प्‍लॉट क्र.4812-7-459 मुळगाव, तरोडा खु नांदेड
 2, ग्‍ट नं.
 3, गट नं.
 4, gut no.231 तरोडा खु
 4, गट नं. 230
 5, गट नं 230  प्लॉट नं 1,2,3,4,5 , व्यंकटैश   नगर तरोड (खु.) नांदेड
 7, गट क्र.218 प्‍लॉट क्र.07 कोरडे नगर. तरोडा खु.नांदेड
 8, Gut No. 222,2229,230,231,232,233,234,235,236, Plot No. 7 व्‍यंकटेश नगर नांदेड
 9, Gut No. 222,222230,231,232,233,234,235,236, Plot No. 8 व्‍यंकटेश नगर नांदेड
 9/मुळगाव मुळगाव तरोडा खु
 11, Gut No. 222,2229,230,231,232,233,234,235,236, Plot No. 11चा  द भाग व्‍यंकटेश नगर नांदेड
 11/मुळगाव मुळगाव तरोडा खु
 12/3-/409, PLOTE NO.23, 24 GUT NO. 154वैष्णवी नगर  तरोडा खु. वैष्णवी नगर
 12/4, Gut No.206, Plot No.08 वर्धमान नगरी,तरोडा खु.नांदेड
 12/5--, गट क्रं. 257 पैकी प्लॉट क्रं. 24 तरोडा नांदेड
 12/7-106, गट नं.218 पैकी प्लॉट नं28,29,38,व 39 वरील राज गॅलक्सी डी मधील फॅल्ट नं.106,तरोडा खु.नांदेड
 12-7--, 12-7-00 गट नं 94 प्लॉट  नं 11 शंकर नगर तरोडा  खु नांदेड
